id_code,study_type,nature_x,total_sample_size,sample_size_control,mean_control,sd_control,sample_size_treatment,mean_treatment,sd_treatment,effect_type,plant_specie,yi,vi,statistic,value,country,sampling_method,farm_type,pesticide_effect
C0096,field,categorical,8,4,386.58,150.32,4,357.94,211.18,pollination,Mangifera spp.,-0.13572469,0.501151324,NA,NA,mexico,video_record,monoculture ,sublethal
C0096,field,categorical,8,4,117.41,97.24,4,229.13,48.62,pollination,Mangifera spp.,1.262348118,0.599595173,NA,NA,mexico,video_record,monoculture ,sublethal
C0096,field,categorical,8,4,7224.08,1846.16,4,5979.93,4595.32,community,,-0.308612838,0.505952618,NA,NA,mexico,video_record,monoculture ,sublethal
C0096,field,categorical,8,4,496.86,252.92,4,377.58,71.76,community,,-0.557339906,0.519414236,NA,NA,mexico,video_record,monoculture ,sublethal
C0098,field,categorical,12,5,6.43,2.68,7,5.21,1.96,community,,-0.494725333,0.353055191,NA,NA,england,observation ,polyculture,lethal
C0098,field,categorical,12,5,1.66,0.8,7,0.39,0.21,community,,-2.204993077,0.545440246,NA,NA,england,observation ,polyculture,lethal
C0098,field,categorical,12,5,0.91,0.4,7,0.38,0.24,community,,-1.557784969,0.443969393,NA,NA,england,observation ,polyculture,lethal
C0141,laboratory,categorical,14,7,47.18,19.61,7,29.5,9.37,community,,-1.076749336,0.32712104,NA,NA,canada,directly_from_the_colony ,NA,sublethal
C0141,laboratory,categorical,14,7,47.18,19.61,7,36.57,7.06,community,,-0.673808488,0.30192921,NA,NA,canada,directly_from_the_colony ,NA,sublethal
C0141,laboratory,categorical,14,7,47.18,19.61,7,15.02,4.58,community,,-2.113825835,0.445294988,NA,NA,canada,directly_from_the_colony ,NA,sublethal
C0144,field,categorical,10,4,628.07,618.24,6,287.05,222.34,pollination,Citrullus lanatus,-0.737503052,0.443862204,NA,NA,usa,observation ,polyculture,sublethal
C0144,field,categorical,10,4,3.98,0.84,6,3.59,1.49,community,,-0.273894476,0.420417576,NA,NA,usa,observation ,polyculture,lethal
C0144,field,categorical,10,4,30.85,33.18,6,24.16,16.09,community,,-0.251924562,0.419839966,NA,NA,usa,observation ,polyculture,lethal
C0151,laboratory,categorical,20,10,7.58,3.42,10,7.29,1.9,pollination,NA,-0.100387967,0.200251944,NA,NA,usa,directly_from_the_colony ,NA,sublethal
C0151,laboratory,categorical,20,10,7.58,3.42,10,10.26,2.56,pollination,NA,0.849617697,0.218046256,NA,NA,usa,directly_from_the_colony ,NA,sublethal
C0151,laboratory,categorical,20,10,7.58,3.42,10,7.78,2.41,pollination,NA,0.064740393,0.200104783,NA,NA,usa,directly_from_the_colony ,NA,sublethal
C0151,laboratory,categorical,20,10,7.58,3.42,10,6.11,3.08,pollination,NA,-0.432559488,0.204677693,NA,NA,usa,directly_from_the_colony ,NA,sublethal
C0151,laboratory,categorical,20,10,7.58,3.42,10,1.73,1.21,pollination,NA,-2.183935771,0.319239386,NA,NA,usa,directly_from_the_colony ,NA,sublethal
C0151,laboratory,categorical,20,10,19.44,9.93,10,20.35,7.22,community,,0.100382262,0.200251915,NA,NA,usa,directly_from_the_colony ,NA,sublethal
C0151,laboratory,categorical,20,10,19.44,9.93,10,25.9,7.78,community,,0.693541054,0.21202498,NA,NA,usa,directly_from_the_colony ,NA,sublethal
C0151,laboratory,categorical,20,10,19.44,9.93,10,18.47,8.06,community,,-0.102716944,0.200263769,NA,NA,usa,directly_from_the_colony ,NA,sublethal
C0151,laboratory,categorical,20,10,19.44,9.93,10,10.55,6.88,community,,-0.996634282,0.224831997,NA,NA,usa,directly_from_the_colony ,NA,sublethal
C0151,laboratory,categorical,20,10,19.44,9.93,10,1.94,2.99,community,,-2.285404758,0.330576873,NA,NA,usa,directly_from_the_colony ,NA,sublethal
C0161,field,categorical,18,9,165,33,9,158,31,community,,-0.208203889,0.223426357,NA,NA,usa,pan_trap,monoculture ,lethal
C0161,field,categorical,18,9,27,3,9,25,2,community,,-0.747009367,0.237722861,NA,NA,usa,pan_trap,monoculture ,lethal
C0161,field,categorical,18,9,0.8,0.02,9,0.85,0.02,community,,2.380634587,0.379650584,NA,NA,usa,pan_trap,monoculture ,lethal
C0177,field,categorical,36,18,17.11,9.42,18,15.46,13.45,community,,-0.138942649,0.111379237,NA,NA,germany ,pan_trap ,monoculture ,lethal
C0177,field,categorical,36,18,6.18,6.96,18,5.97,9.55,community,,-0.024572588,0.111119497,NA,NA,germany ,pan_trap ,monoculture ,lethal
C0177,field,categorical,36,18,42.13,42.72,18,31.73,19.22,community,,-0.306985365,0.11242,NA,NA,germany ,pan_trap ,monoculture ,lethal
C0177,field,categorical,36,18,55.17,57.87,18,38.59,60.75,community,,-0.273247716,0.112148115,NA,NA,germany ,pan_trap ,monoculture ,lethal
C0177,field,categorical,36,18,3.78,1.32,18,3.56,1.23,community,,-0.168604854,0.111505939,NA,NA,germany ,pan_trap ,monoculture ,lethal
C0177,field,categorical,36,18,2.89,1.74,18,2.11,2.04,community,,-0.402251083,0.113358416,NA,NA,germany ,pan_trap ,monoculture ,lethal
C0177,field,categorical,36,18,10.54,6.83,18,9.62,5.01,community,,-0.150183701,0.111424377,NA,NA,germany ,pan_trap ,monoculture ,lethal
C0177,field,categorical,36,18,13.64,10.78,18,10.4,10.39,community,,-0.29923223,0.112354721,NA,NA,germany ,pan_trap ,monoculture ,lethal
C0180,laboratory,categorical,147,73,1.75,1.88,74,1.72,1.89,community,,-0.015832289,0.027212996,NA,NA,usa,directly_from_the_colony ,NA,sublethal
C0180,laboratory,categorical,144,73,1.75,1.88,71,0.96,1.35,community,,-0.479077201,0.028580064,NA,NA,usa,directly_from_the_colony ,NA,sublethal
C0189,laboratory,categorical,180,90,0.73,0.47,90,0.42,0.47,pollination,NA,-0.6567908,0.023420484,NA,NA,china ,directly_from_the_colony ,NA,sublethal
C0189,laboratory,categorical,180,90,0.73,0.47,90,0.48,0.47,pollination,NA,-0.52967,0.023001529,NA,NA,china ,directly_from_the_colony ,NA,sublethal
C0189,laboratory,categorical,180,90,0.49,0.47,90,0.3,0.47,pollination,NA,-0.4025492,0.02267235,NA,NA,china ,directly_from_the_colony ,NA,sublethal
C0189,laboratory,categorical,180,90,0.49,0.47,90,0.39,0.47,pollination,NA,-0.211868,0.022346911,NA,NA,china ,directly_from_the_colony ,NA,sublethal
C0189,laboratory,categorical,180,90,0.32,0.47,90,0.07,0.19,pollination,NA,-0.69446709,0.023561901,NA,NA,china ,directly_from_the_colony ,NA,sublethal
C0189,laboratory,categorical,180,90,0.67,0.47,90,0.59,0.57,pollination,NA,-0.152493539,0.022286817,NA,NA,china ,directly_from_the_colony ,NA,sublethal
C0197,field,categorical,18,8,2.9,1.98,10,3.5,2.53,community,,0.247813245,0.226705872,NA,NA,usa,observation,monoculture ,lethal
C0142,field,categorical,25,12,NA,NA,13,NA,NA,community,,0.3,0.15,F,0.62,usa,observation ,polyculture,lethal
C0142,field,categorical,25,12,NA,NA,13,NA,NA,community,,0,0.15,F,0,usa,observation ,polyculture,lethal
C0120,field,continuous,12,6,NA,NA,6,NA,NA,community, ,-1.015384615,0.400473373,r,0.481352262,kenya,observation ,monoculture ,lethal
C0135,field,continuous,15,2,NA,NA,13,NA,NA,community, ,-1.317647059,0.380899654,r,0.574456265,usa,pan_trap ,monoculture ,lethal
C0135,field,continuous,15,2,NA,NA,13,NA,NA,community, ,-1.204705882,0.35432526,r,0.538516481,usa,pan_trap ,monoculture ,lethal
C0135,field,continuous,15,2,NA,NA,13,NA,NA,community, ,-1.176470588,0.35432526,r,0.529150262,usa,pan_trap ,monoculture ,lethal
C0135,field,continuous,15,2,NA,NA,13,NA,NA,community, ,-1.53,0.59,F,4.58,usa,pan_trap ,monoculture ,lethal
C0135,field,continuous,15,2,NA,NA,13,NA,NA,community, ,1.45,0.58,F,4.12,usa,pan_trap ,monoculture ,lethal
C0135,field,continuous,15,2,NA,NA,13,NA,NA,community, ,0.77,0.53,F,1.16,usa,pan_trap ,monoculture ,lethal
C0135,field,continuous,15,2,NA,NA,13,NA,NA,community, ,-1.99,0.64,F,7.76,usa,pan_trap ,monoculture ,lethal
C0135,field,continuous,15,2,NA,NA,13,NA,NA,community, ,-2.27,0.68,F,10.08,usa,pan_trap ,monoculture ,lethal
C0135,field,continuous,15,2,NA,NA,13,NA,NA,community, ,1,0.54,F,1.95,usa,pan_trap ,monoculture ,lethal
C0135,field,continuous,15,2,NA,NA,13,NA,NA,community, ,0.97,0.54,F,1.83,usa,pan_trap ,monoculture ,lethal
C0135,field,continuous,15,2,NA,NA,13,NA,NA,community, ,-1.61,0.6,F,5.06,usa,pan_trap ,monoculture ,lethal
C0135,field,continuous,15,2,NA,NA,13,NA,NA,community, ,1.19,0.56,F,2.79,usa,pan_trap ,monoculture ,lethal
C0179,field,continuous,80,10,NA,NA,70,NA,NA,pollination,Helianthus annuus L.,-0.33,0.11,F,0.97,italy,observation ,monoculture ,lethal
C0179,field,continuous,80,10,NA,NA,70,NA,NA,pollination,Helianthus annuus L.,-0.37,0.11,F,1.19,italy,observation ,monoculture ,lethal
C0179,field,continuous,80,10,NA,NA,70,NA,NA,pollination,Helianthus annuus L.,0.12,0.11,F,0.13,italy,observation ,monoculture ,lethal
C0179,field,continuous,80,10,NA,NA,70,NA,NA,pollination,Helianthus annuus L.,0.25,0.11,F,0.55,italy,observation ,monoculture ,lethal
C0143,field,continuous,22,9,NA,NA,13,NA,NA,pollination,Citrullus lanatus,-1.33,0.21,t,3.19,usa,observation ,monoculture ,sublethal
